INFO 2025-02-25 22:23:16,970 connection Disconnected
INFO 2025-02-25 22:23:16,970 session Session stopped
INFO 2025-02-25 22:23:16,971 connection Connecting...
INFO 2025-02-25 22:23:17,155 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:17,156 session NetworkTask started
INFO 2025-02-25 22:23:17,487 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:17,487 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:17,487 session NetworkTask stopped
INFO 2025-02-25 22:23:17,487 connection Disconnected
INFO 2025-02-25 22:23:17,488 connection Disconnected
INFO 2025-02-25 22:23:17,488 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:17,488 connection Disconnected
INFO 2025-02-25 22:23:17,488 session Session stopped
INFO 2025-02-25 22:23:17,488 connection Connecting...
INFO 2025-02-25 22:23:17,621 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:17,621 session NetworkTask started
INFO 2025-02-25 22:23:17,915 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:17,916 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:17,917 session NetworkTask stopped
INFO 2025-02-25 22:23:17,917 connection Disconnected
INFO 2025-02-25 22:23:17,917 connection Disconnected
INFO 2025-02-25 22:23:17,918 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:17,918 connection Disconnected
INFO 2025-02-25 22:23:17,918 session Session stopped
INFO 2025-02-25 22:23:17,918 connection Connecting...
INFO 2025-02-25 22:23:18,049 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:18,050 session NetworkTask started
INFO 2025-02-25 22:23:18,366 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:18,368 session NetworkTask stopped
INFO 2025-02-25 22:23:18,368 connection Disconnected
INFO 2025-02-25 22:23:18,369 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,369 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,369 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,369 connection Disconnected
INFO 2025-02-25 22:23:18,369 session Session stopped
INFO 2025-02-25 22:23:18,369 connection Connecting...
INFO 2025-02-25 22:23:18,499 connection Connected! Production DC2 - IPv4
INFO 2025-02-25 22:23:18,499 session NetworkTask started
INFO 2025-02-25 22:23:18,814 session Discarding packet: The msg_id is lower than all the stored values
INFO 2025-02-25 22:23:18,815 session NetworkTask stopped
INFO 2025-02-25 22:23:18,815 connection Disconnected
INFO 2025-02-25 22:23:18,816 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,816 tcp Send exception: ConnectionResetError Connection lost
INFO 2025-02-25 22:23:18,816 connection Disconnected
INFO 2025-02-25 22:23:18,817 session Session stopped
